role,skills
Accountant,"Excel,Accounting,Tally,GST Filing,Taxation,Bookkeeping,Financial Reporting,Audit,Cost Accounting,Payroll Processing,QuickBooks,SAP Finance"
Business Analyst,"Requirements Gathering,Process Mapping,SQL,Stakeholder Management,Agile,JIRA,Data Analysis,Excel,Visio,User Stories,MS Project,Power BI"
Data Analyst,"SQL,Python,Excel,Tableau,Power BI,Statistics,Data Cleaning,Data Visualisation,R,ETL,Google Analytics,Looker"
Data Scientist,"Python,Machine Learning,TensorFlow,Statistics,SQL,Deep Learning,NLP,Data Analysis,R,Data Cleaning,Data Visualisation,ETL"
Software Engineer,"Java,Python,SQL,Git,REST API,Agile,Docker,Node.js,Data Structures,System Design,Microservices,Linux"
Frontend Developer,"React,JavaScript,TypeScript,HTML,CSS,Git,Figma,REST API,Vue.js,Angular,Node.js,Webpack"
Backend Developer,"Node.js,Python,Java,SQL,MongoDB,PostgreSQL,REST API,Docker,Git,Microservices,Redis,AWS"
Full Stack Developer,"React,Node.js,JavaScript,TypeScript,SQL,MongoDB,Docker,Git,REST API,AWS,HTML,CSS"
DevOps Engineer,"Docker,Kubernetes,AWS,CI/CD,Linux,Git,DevOps,Terraform,Ansible,Python,Monitoring,Bash"
Product Manager,"Product Management,Agile,JIRA,Stakeholder Management,User Stories,Data Analysis,Communication,Leadership,Roadmapping,SQL,Figma,Project Management"
UX Designer,"Figma,Adobe XD,UX Design,Prototyping,User Research,Communication,HTML,CSS,Design Thinking,Wireframing,Usability Testing,Sketch"
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,Deep Learning,NLP,Computer Vision,SQL,Docker,AWS,Statistics,Kubernetes,MLflow"
Cybersecurity Analyst,"Cybersecurity,Network Security,Ethical Hacking,Penetration Testing,Linux,Python,Risk Management,Compliance,Firewalls,SIEM,Incident Response,Cryptography"
Cloud Architect,"AWS,Azure,Google Cloud,Cloud Computing,Docker,Kubernetes,Terraform,DevOps,Linux,Python,Microservices,Security"
Financial Analyst,"Financial Modelling,Excel,Financial Reporting,Investment Analysis,Portfolio Management,SQL,Power BI,Tableau,Risk Management,Statistics,Accounting,Bloomberg"
Marketing Manager,"Digital Marketing,SEO,Content Writing,Social Media,Email Marketing,CRM,Google Analytics,HubSpot,Salesforce,Data Analysis,Communication,Leadership"
Project Manager,"Project Management,Agile,MS Project,Stakeholder Management,Risk Management,Communication,Leadership,JIRA,Process Mapping,Budgeting,Reporting,Excel"
Sales Manager,"CRM,Salesforce,Communication,Leadership,Negotiation,Data Analysis,Excel,Digital Marketing,Customer Success,Pipeline Management,Forecasting,HubSpot"
HR Manager,"HR Management,Payroll Processing,Compliance,Communication,Leadership,Excel,HRIS,Talent Acquisition,Performance Management,Employee Relations,Training,Labour Law"
Mobile Developer,"Flutter,Swift,Kotlin,React,JavaScript,REST API,Git,Docker,Firebase,Android,iOS,SQLite"
