table_name,created_in_migrations
IF,20260526000007_phase1a_distributed_governance.sql;20260616000002_a10_governance_role_model.sql;20260616000003_a10_core_governance_entities.sql;20260616000005_a10_governance_event_store.sql;20260706000001_wp_p2_01_sim_enterprise_foundation.sql
activity_taxonomy,20260523000001_student_activities_phase3b.sql
agent_responses,006_multi_agent_system.sql
agent_sessions,006_multi_agent_system.sql
ai_pipeline_jobs,003_ai_event_bus.sql
ai_prompt_validation_log,add-phase4b-governance-observability.migration.sql
ai_validation_metrics_snapshot,add-phase4b-governance-observability.migration.sql
ai_validation_provenance_log,add-phase4b-governance-observability.migration.sql
audit.audit_records,20260616000006_a10_audit_store.sql
career_advice_cache,001_semantic_ai_upgrade.sql
career_advice_results,003_ai_event_bus.sql
career_health_results,003_ai_event_bus.sql
career_opportunity_signals,002_career_opportunity_radar.sql
cluster_drift_history,20260516000001_phase4a_intelligence_quality.sql
cluster_stability_profiles,20260516000001_phase4a_intelligence_quality.sql
cognitive_options,20260524000001_student_cognitive_phase3c.sql
cognitive_questions,20260524000001_student_cognitive_phase3c.sql
cognitive_taxonomy,20260524000001_student_cognitive_phase3c.sql
governance.approval_decisions,20260616000003_a10_core_governance_entities.sql
governance.governance_events,20260616000005_a10_governance_event_store.sql
governance.governance_roles,20260616000002_a10_governance_role_model.sql
governance.lineage_versions,20260616000004_a10_lineage_versions.sql
governance.principal_role_grants,20260616000003_a10_core_governance_entities.sql
governance.review_assignments,20260616000003_a10_core_governance_entities.sql
governance.revocation_records,20260616000003_a10_core_governance_entities.sql
intelligence_signal_registry,20260525000001_cross_domain_intelligence_phase3d.sql
job_embeddings,001_semantic_ai_upgrade.sql
job_match_results,003_ai_event_bus.sql
learning_path_cache,001_semantic_ai_upgrade.sql
opportunity_radar_results,003_ai_event_bus.sql
opportunity_radar_runs,002_career_opportunity_radar.sql
personalized_recommendations,004_ai_personalization_engine.sql
public,000_initial_schema.sql;20260410162714_remote_schema.sql;20260411023000_chi_retention_lifecycle.sql
public.academic_boards,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.academic_languages,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.academic_rpc_lifecycle,20260527000002_phase2_hardening.sql
public.academic_rpc_schema_registry,20260527000002_phase2_hardening.sql
public.academic_streams,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.academic_subjects,20260526000001_phase1a_academic_taxonomy_infrastructure.sql
public.activity_events,000_initial_schema.sql
public.activity_logs,000_initial_schema.sql
public.adaptive_weights,000_initial_schema.sql
public.admin_logs,000_initial_schema.sql
public.admin_principals,000_initial_schema.sql
public.admin_secrets,000_initial_schema.sql
public.admin_users,000_initial_schema.sql
public.ai_alerts,000_initial_schema.sql
public.ai_confidence_language_log,20260517_phase4b_ai_confidence_language.sql
public.ai_cost_daily_usage,000_initial_schema.sql
public.ai_cost_tracking,000_initial_schema.sql
public.ai_daily_costs,000_initial_schema.sql
public.ai_explanation_snapshots,20260517_phase4b_ai_confidence_language.sql
public.ai_jobs,000_initial_schema.sql
public.ai_observability_logs,000_initial_schema.sql
public.ai_observability_logs_2025_q1,000_initial_schema.sql
public.ai_observability_logs_2025_q2,000_initial_schema.sql
public.ai_observability_logs_2025_q3,000_initial_schema.sql
public.ai_observability_logs_2025_q4,000_initial_schema.sql
public.ai_observability_logs_2026_q1,000_initial_schema.sql
public.ai_observability_logs_2026_q2,000_initial_schema.sql
public.ai_pipeline_jobs,000_initial_schema.sql
public.ai_usage,000_initial_schema.sql
public.ai_usage_logs,000_initial_schema.sql
public.ats_scores,000_initial_schema.sql
public.automation_jobs,000_initial_schema.sql
public.ava_memory,000_initial_schema.sql
public.board_region_map,20260526000004_phase1a_governance_hardening.sql
public.career_advice_cache,000_initial_schema.sql
public.career_advice_results,000_initial_schema.sql
public.career_alerts,000_initial_schema.sql
public.career_health_index,000_initial_schema.sql
public.career_health_results,000_initial_schema.sql
public.career_insights,000_initial_schema.sql
public.career_metrics,000_initial_schema.sql
public.career_opportunity_signals,000_initial_schema.sql
public.career_paths,000_initial_schema.sql
